name,owner
Max Scherzer,King Of Chardonnay
Giancarlo Stanton,King Of Chardonnay
Jose Abreu,King Of Chardonnay
Paul Goldschmidt,Stiinta Craiova
Anthony Rizzo,Stiinta Craiova
Hanley Ramirez,Stiinta Craiova
Ryan Braun,The Gladiators
Ian Kinsler,The Gladiators
Chris Sale,The Gladiators
Adam Jones,Stoolies
David Ortiz,Stoolies
Jose Reyes,Stoolies
Jacoby Ellsbury,Rain On 'Em
Albert Pujols,Rain On 'Em
Nelson Cruz,Rain On 'Em
Mike Trout,Beast Mode
Yasiel Puig,Beast Mode
Billy Hamilton,Beast Mode
Ian Desmond,D's Ballers
Buster Posey,D's Ballers
Hunter Pence,D's Ballers
Jose Bautista,Daddy W
Troy Tulowitzki,Daddy W
Clayton Kershaw,Daddy W
Michael Brantley,Dugo's Way
Carlos Gonzalez,Dugo's Way
Corey Kluber,Dugo's Way
Andrew McCutchen,Jersey Fu's
Miguel Cabrera,Jersey Fu's
Madison Bumgarner,Jersey Fu's
Anthony Rendon,The Alliance
Prince Fielder,The Alliance
Felix Hernandez,The Alliance
Carlos Gomez,Team Auto
Josh Donaldson,Team Auto
Joey Votto,Team Auto
Edwin Encarnacion,You're Out
Freddie Freeman,You're Out
David Price,You're Out
Bryce Harper,Slow Rollers
Adrian Gonzalez,Slow Rollers
Yu Darvish,Slow Rollers
